Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
IT Systems Analyst - Data,$80K - $95K (Employer est.),"IT Systems Analyst - Data
Job Number: 182349

As an IT Systems Analyst you'll be part of the growing Commercial Lines group where our needs to make data driven decisions is growing. Do you thrive in an environment where you get to use a mix of tools to develop data stories that lead to decisions and change? If so, this position is for you! This includes creating and reporting on the health of our systems, offering insights and consultation to observed areas of opportunity and being a voice in our Lean journey.
Must have qualifications
Bachelor's Degree or higher in an Information Technology, or related discipline (e.g., Computer Science, Management Information Systems (MIS), Math, Information Systems) and a minimum of two years of related work experience designing, developing, programming and/or supporting IT Systems and applications.",3.9,"Progressive
3.9","Highland Heights, Cuyahoga, OH",10000+ Employees,1937,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Business Data Analyst,$80K - $95K (Employer est.),"Job Title: Business Data Analyst
Location: San Francisco
Duration: 1 Year Contract

Summary:
Responsibilities
We are looking for a strong Business Analyst/Project Manager who is resourceful, action-oriented with the ability to get things done and overcome obstacles. They will work across these areas/teams:

Business Support
Provide day-to-day coordination and quality assurance for projects and tasks

Technology Infrastructure / Operations
- Lead troubleshooting efforts - identify and communicate risks and adjustments to the overall program.

Internal Tools Enablement

Minimum Qualifications

Preferred Qualifications



IND123",4.5,"Ursus
4.5","San Francisco, CA",1 to 50 Employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Business Analyst,$80K - $95K (Employer est.),"In your role as Business Analyst you will provide technical and analytical support for corporate growth and development, including the build out of pro forma analyses, analyzing revenue and expense data, and providing insights on the financial and operating characteristics that generate scenarios from internal and external sources. You will be responsible for creating SQL and BI data models using internal and external datasets to enable the creation of standardized actionable dashboards. You will partner with multiple internal workgroups and market leaders tasked with growth and development of Unified Women’s Healthcare. For ultimate success in this role you will utilize your strong technical skills, analytical skill set, financial literacy, and healthcare knowledge to build analytical models and tools that communicate growth drivers to key stakeholders.
Essential Job Functions:
Develop models that translate data into cash-flow projections for potential acquisitions",3.7,"Unified Women’s Healthcare
3.7",Remote,501 to 1000 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Analyst,$80K - $95K (Employer est.),"Req ID: 109045

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Data Analyst to join our team in Falls Church, Virginia (US-VA), United States (US).

General Duties and Tasks include:


Design and architecture of the data model and solutions built on it, then iterate with the business on the development of dynamic reporting applications.







:



INDPUBLIC



NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.



Washington DC


Database, Consulting, SQL, Cloud, Computer Science, Technology",3.5,"NTT DATA
3.5","Falls Church, VA",1001 to 5000 Employees,-1,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
Data Analyst,$80K - $95K (Employer est.),"US Tech Solutions is seeking a “Data Analyst” for a 6+ Months Contract month contract position with a client in Remote
Job Poster: Cindy Won
Description:
Responsible for performing research and requirement analysis, creation and design of mapping documents, and presents findings to appropriate team members, clients and vendors. Determines best practices and provides suggestions on how to improve current practices.
Job Responsibilities
· Creates accurate mapping documents according to the mapping process.",3.9,"US Tech Solutions
3.9",Remote,1001 to 5000 Employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Business Analyst,$80K - $95K (Employer est.),"The Alexander Technology Group is looking for Project Managers / Business Analysts for 12+ month fully remote contract opportunities for a prestigious client in the healthcare consulting space. These Project Managers and Business Analysts need to have administrative skills but also be able to manage projects and perform business analysis. These positions will work heavily with end-users, gather requirements and manage this client's NetSuite partner.

What we are looking for:
1-5+ years of Project Management or Business Analysis
Project Management and Business Analytical understanding
Requirements Gathering / Workflow management
End-user interfacing - be able to collaborate with C-Level Clientele",4.4,"Alexander Technology Group
4.4","Newton, MA",51 to 200 Employees,2007,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Business Data Analyst,$80K - $95K (Employer est.),"Grow your career as a Business Data Analyst with an innovative global bank in Jersey City, NJ. Long-term contract with excellent growth potential. Will be required to work onsite 2-3 days per week.
Responsibilities:
Metadata Management
Lead onboarding of data providers onto the Data Highway platform.
Act as a Single Point of Contact (SPOC) for set of applications that are either new or existing on Data Highway platform.
Manage the complete onboarding process (end to end) of data dictionaries and related datasets related to the assigned applications.
Develop a subject matter expertise on the data dictionaries, datasets and relationships between different datasets for the assigned applications.",4.5,"MATRIX Resources
4.5","Jersey City, NJ",201 to 500 Employees,1983,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Analyst,$80K - $95K (Employer est.),"A Project Reporting Analyst job in St. Louis, MO is currently available through Belcan. To be considered for this role you should have bachelor's degree in Engineering, Finance, IT or similar discipline. In this role, you will be responsible for the content management delivery system within an in engineering operation.

A Project Reporting Analyst- intermediate job duties:
Developing visual analytical reports in Spotfire
Work internally, purchasing, operations and engineers
Preforming purchasing, invoicing, Office management and Onboarding
Coordinate new projects-status reports, monthly reports pulling data from SAP

Qualifications:
Bachelor's degree in Engineering, Finance, IT or similar discipline
Experience working on complex engineering and construction projects
Experience with SAP and knowledge of Ariba
Must be an expert in In Excel, Powerpoint and Word- formulas, macros and pivot tables
Five years of experience forecasting, organizing and reporting big data

If you are interested in this Project Reporting Analyst job in St. Louis, MO please apply via the ""apply now"" link provided. Belcan is a leading provider of qualified personnel to many of the world's most respected enterprises. We offer excellent opportunities for contract/temporary, temp-to-hire, and direct assignments in the engineering, IT, and professional fields. We are the employer of choice for thousands worldwide. Our overriding goal is to provide quality staffing solutions that help people, organizations, and communities succeed. Belcan is a team-driven Equal Opportunity Employer committed to workforce diversity. For more information, please visit our website at http://www.belcan.com.
#Office365jobs, #projectanalystjobs, costreportingjobs, #Dataanalystjobs, #StLouisjobs
Area Code 636, St. Louis, MO",3.6,"Belcan
3.6","Saint Louis, MO",51 to 200 Employees,-1,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD)
Data Analyst/Scientist,$80K - $95K (Employer est.),"Position: Data Anlayst
Location: Boston, MA (100% Remote)
Duration: 6 Month Contract-to-Hire (Full-Time/Extension)
Job Description:
Our Healthcare Client based out of Boston is looking to bring in a data scientist to help them use their data to track and optimize patient volume and how this data can be utilized for targeted strategies to position them favorable for further growth. This Data Analyst will help to identify and address constraints that limit patient conversion, retention, as well as opportunities to enhance patient and referring physician experience. The analyst will provide deal support, negotiation modeling, transaction projections, and sensitivity analyses. This role also provides analytics of large datasets to help identify potential partners that DFCI should be approaching for transactions and alliances. As part of this process, the analyst will need to understand and analyze internal clinical and volume data, demographic data, market data, and financial data; including working with large datasets from external organizations such as from CMS the AHA, CHIA, and the Massachusetts All Payer Claims Database. The analyst will query these large datasets to find the appropriate data required and provide recommendations and insights.",4.9,"Medasource
4.9",Remote,501 to 1000 Employees,2000,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Data Analyst,$80K - $95K (Employer est.),"SCOPE-
The Office of Research provides audience research, marketing and advertising support. We are looking for an analyst to assist with analyzing survey and social advertising data, designing randomized control trials, helping manage data collection, and writing reports providing actionable insights from statistical analyses.
The individual should have strong statistical skills and be proficient in R. They should have experience in using advanced statistical analysis techniques, such as logistic regression, hierarchical linear models and experimental design and be familiar with experimental design. Additionally, they should be able to synthesize materials and communicate analysis results and methodology to colleagues and clients unfamiliar with statistics and surveys. The candidate should also be knowledgeable about data visualization. A familiarity with and interest in international relations or communicating with international audiences is preferred.",4.0,"Insight Global
4.0",Remote,1001 to 5000 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Data Analyst,$80K - $95K (Employer est.),"Position Summary:
This teammate is responsible for sourcing and developing insights and reporting solutions to help improve decisions for the organization. Their energy and motivation will be focused to evaluate data, find key points, and recommend action steps to directly impact the bottom line.
Essential Responsibilities:
Own the design, development, and maintenance of ongoing metrics, reports, analytics, dashboards, etc. to drive key business decisions for essential business units and functions across Firestone Building Products including Sales & Marketing, Finance, Supply Chain & Logistics
Be a thought leader and consultant to the business, advising on best practice analytics approaches and solutions that lead to and achieve business outcomes",3.8,"Vaco
3.8","Nashville, TN",501 to 1000 Employees,2002,Company - Private,Consulting,Business Services,$500 million to $1 billion (USD)
Data Analyst,$80K - $95K (Employer est.),"PDS Tech, Inc. is seeking a Data Analyst in Tempe, AZ. As a PDS Tech employee, you will be on assignment at Honeywell.

Job Description:
Must be strong in Excel and able to complete V-Lookups
Will be gathering data from a SAP system and Salesforce. Will be “marrying: records between the 2 systems
Will be validating the SAP accounts is mapped correctly to Salesforce accounts
Will be pulling reports from Salesforce and refreshing info.
Will meet with Sales Team Members to verify the information to determine the different options to be sure matched correctly.",3.7,"PDS Tech, Inc.
3.7","Tempe, AZ",5001 to 10000 Employees,1977,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Business Data Analyst,$80K - $95K (Employer est.),"Job Title: Business Data Analyst
Direct Report: Director of Data Analytics and Information Technology
Job Category: Data & IT
Location: Remote
Travel Required: 20% to NYC and/or Newark, NJ
Level/Salary Range: Mid-Level
Position Type: Full-Time
Company Info
AHN/RHS are two behavioral health IPAs with providers touching over 100,000 lives across NYC, Long Island, and Upstate New York. Through the BHCC effort, these IPAs are tasked with moving behavioral health providers into Value Based Payment arrangements with managed care organizations.",-1,"Recovery Health Solutions IPA, LLC","New York, NY",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Clinical Trials Data Analyst,$80K - $95K (Employer est.),"Duties

The Analyst supports Clinical Operations study teams and management by providing predictive analytics insights, business intelligence, and operational analytics for effective data-driven decision-making. The Analyst is responsible for collecting, analyzing and presenting data to support the business questions and needs with some oversight. The Analyst demonstrates a strong degree of technical expertise and some clinical development experience while working directly with clinical operations study teams on an as-needed basis.

Experience

Build forecast models with internal and external data to inform scenario planning for clinical trials.

Skills


Education

Minimum:

BEOCS",3.8,"BEPC Inc
3.8","South San Francisco, CA",51 to 200 Employees,-1,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
Business Analyst,$80K - $95K (Employer est.),"Responsibilities:
Evaluate financial and accounting business processes, anticipate requirements, uncover areas for improvement, develop and implement solutions
Contribute to ERP enabled business process diagrams
Participate in design and solution sessions to optimize processes with a focus on financial data
Support transition to project-based accounting and improvements to the current chart of accounts and line of accounting data structure
Identify and implement financial data quality improvements from the transaction level to the financial statement reporting
Develop report templates meeting operational demands",4.0,"Insight Global
4.0",Remote,1001 to 5000 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
"Business Analyst, COVID (Remote) Job-010282",$80K - $95K (Employer est.),"Equity Staffing is looking for a Remote Business Analyst. This position is with a Fortune 100 organization. Our client serves more than 85 million people and has a reputation for bold ideas. If you enjoy working with energetic people in a collaborative environment, we want to speak with you!
Primary Responsibilities:
Responsible for ordering, tracking, communicating and reporting of COVID lab testing processes.
Communication with people leaders and vendors to ensure staff have supplies they need.
This role will also be responsible for Employee Health related activities when onboarding new staff.",3.3,"Equity Staffing Group
3.3",Remote,501 to 1000 Employees,2009,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Business Analyst,$80K - $95K (Employer est.),"Description:
Seeking a Business Analyst to join our project team. You will report directly to the project manager. Your main tasks will include performing detailed requirements analysis, documenting processes, and performing some user acceptance testing. To succeed in the role, you should have a natural analytical way of thinking and be able to explain difficult concepts to non-technical users. The Business Analyst will partner closely with the various IT support teams to define requirements that will inform the project’s goals.

The 3 major areas of the Business Analyst’s responsibilities will be:
Collaborate with the Project Manager to build a path to success and to define risk mitigation strategy when risks arise

Additional skills:",2.5,"Professional Technology Integration, Inc.
2.5","Augusta, ME",1 to 50 Employees,-1,Company - Public,IT Services,Information Technology,$1 to $5 million (USD)
Data/Business Analyst,$80K - $95K (Employer est.),"Job Title: Data/Business Analyst
Job Location: 100% remote
Job Duration: 6 Months Contract
Required Skill :
1+ years in a healthcare EDI environment
Proficiency with all Microsoft products especially Excel
Knowledge of medical EDI transactions, ANSI standard, and X12 transactions (835, 837, 270, 271, 276, 277, etc.)
Strong analytical and communication skills
Contract length: 6 months",3.9,"DISYS
3.9",Remote,1001 to 5000 Employees,1994,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
Business Analyst,$80K - $95K (Employer est.),"eNGINE builds Technical Teams. We are a Solutions and Placement firm shaped by decades of interaction with Technical professionals. Our inspiration is continuous learning and engagement with the markets we serve, the talent we represent, and the teams we build. Our Consulting Workforce is encouraged to enjoy career fulfillment in the form of challenging projects, schedule flexibility, and paid training/certifications. Successful outcomes start and finish with eNGINE.
Actively seeking a Business Analyst with a strong background in data. This candidate will work with relational databases, data models and follow ERD's. Requirements for this position include:
Experience with SQL programming
Healthcare industry experience is required",-1,eNGINE,Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Business Data Analyst,$80K - $95K (Employer est.),"Business Data Analyst

Are you a passionate leader looking for autonomy and exciting career possibilities? Do you take an energetic and resourceful approach to problem-solving while bringing innovative ideas and analytics to life on behalf of your team and your customers? Do you enjoy effectively translating requirements into an efficient process and/or system solution? If so, DHL Supply Chain has the opportunity for you.

Job Description
To apply knowledge and analytics to develop and communicate timely, accurate, and actionable insight to the business through the use of modeling, visualization, and optimization. Responsible for the reporting, analyzing, and predicting of operational processes, performance, and Key Performance Indicators. Communication with site leadership, operations, and finance on efficiency, customer requirements, account specific issues, and insight into to the business, operations, and customer.






Brand: DHL
Address: 360 Westar Blvd Westerville, OH - 43082
Property Description: 8011 - Westerville OH
Property Number: 8011",5.0,"DHL | Supply Chain
5.0","Westerville, OH",Unknown,-1,Subsidiary or Business Segment,-1,-1,Unknown / Non-Applicable
Data Analyst (Remote) - 19604,$80K - $95K (Employer est.),"Job Description
We are seeking a talented and self-driven individual for needs serving in the role of Data Analyst for a 6 Month + Contract opportunity.
Duties
Provide senior leadership with metrics and insights based on detailed analysis of emerging trends, business performance and key metrics.
Responsible for complex analysis of business problems.
Partner with internal business customers to develop analyses that lead to actionable insights.
Contribute to presentations for senior management.",-1,FMK Corporation,Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Analyst,$80K - $95K (Employer est.),"Hi,
Hope you are doing great!!
This is Rupa from Epikso Inc. I have an urgent opening of Data Ananlyst at Menlo Park/CA. Please let me know if you have consultant for this position.
Position: Data Analyst
Location: Menlo Park/CA
Duration- 6+months contract
Job Description:",4.6,"Epik Solutions
4.6","Menlo Park, CA",51 to 200 Employees,2015,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable
Research Associate I – III (Bioinformatician / NGS Data Analyst),$80K - $95K (Employer est.),"[RA2102] Research Associate I – III (Bioinformatician / NGS Data Analyst)
BS or MS level (Bioinformatician / Next-Gen Sequencing Data Analyst) sought to support product development, services and manufacturing for a rapidly growing biotechnology company.
Founded in 2012, EpiCypher® is Bringing Epigenetics to Life to help researchers find cures for some of the most challenging diseases. To this end we develop cutting edge / unique tools and services for epigenetics and chromatin biology research. This includes fully defined semi-synthetic nucleosomes; EpiDyne®* nucleosome remodeling substrates; the SNAP-ChIP®* platform that is revolutionizing Chromatin ImmunoPrecipitation (Shah et al (2018) Mol Cell [PMID: 30244833]); dCypher®* to dissect epigenetic regulators in their physiological context (Weinburg et al (2019) Nature [PMID: 31485078]); and CUTANA®* (Yusofova et al (2020) []) for genomic insight with increased sensitivity from reduced cell numbers and sequencing depth.",-1,EpiCypher,"Durham, NC",-1,-1,-1,-1,-1,-1
Supply Chain Data Analyst,$80K - $95K (Employer est.),"COMPANY OVERVIEW
For nearly 100 years, DuBois has delivered improved product quality and lower costs to customers in target industries. We combine advanced chemistry, equipment solutions, manufacturing process knowledge, and local technical service to create unsurpassed value.
We serve various industries including aerospace, automotive, heavy equipment, metal finishing and many more!
JOB SUMMARY
The Supply Chain Analyst will conduct data analysis to improve our supply chain operations - including sources of raw materials, manufacturing plants, distribution centers and customer orders, as well as the transportation and communications links between them. The main goal of the job is to help DuBois Chemicals increase efficiency and reduce costs, while exceeding customer expectations. In this role, the analyst should have an analytical mind and a strong business acumen. Problem-solving skills and attention to detail are essential.",2.9,"DuBois Chemicals
2.9","Cincinnati, OH",501 to 1000 Employees,1920,Company - Private,Chemical Manufacturing,Manufacturing,$100 to $500 million (USD)
Data Reporting Analyst,$80K - $95K (Employer est.),"Our Company
Come join an expanding, team-oriented rheumatology practice. Since 1998, the rheumatologists at Colorado Center for Arthritis and Osteoporosis have relieved the suffering and improved the quality of life of patients suffering from rheumatic conditions. We combine the latest advances in medical knowledge with a compassionate, collaborative, patient-centered approach.
Our Values
Our patients’ needs will be first
We will serve the needs of our referring physicians
We will treat all team members with respect",-1,Colorado Center for Arthritis and Osteoporosis,"Broomfield, CO",1 to 50 Employees,-1,Private Practice / Firm,-1,-1,$1 to $5 million (USD)
Data Analyst,$80K - $95K (Employer est.),"This position is eligible for a $500 Sign-On Bonus! See www.necu.org/careers for details.

Role:
Responsible for data conversion from core to architecture database. Liaison for system migration to ensure data accuracy. Focus on engaging with Lending stakeholders requiring data driven analytics or system changes – to understand specific objectives, identify and prioritize technical and functional requirements, coordinate with IT resources and provide the expected product output.
Adhere to and uphold Northeast Credit Union's Values and Service Standards.

Essential Functions & Responsibilities:",3.8,"Northeast Credit Union
3.8","Portsmouth, NH",201 to 500 Employees,1936,Nonprofit Organization,Banks & Credit Unions,Finance,$1 to $2 billion (USD)
Data Analyst,$80K - $95K (Employer est.),"Headquartered in Arlington, Virginia, IntraFi Network (formerly Promontory Interfinancial Network) – the nation’s largest deposit allocation service provider and the inventor of reciprocal deposits – provides dynamic, all-weather balance sheet and liquidity management solutions to help financial institutions grow franchise value. The company, chosen by thousands of banks since its founding nearly two decades ago, has assembled the largest bank network of its kind. Its solutions help institutions to acquire high-value, local relationships; purchase funding; and reduce collateralization costs.
At IntraFi Network, we prosper by working hard in an open and creative environment. Our efforts to create and maintain a culture that values our people have led us to be designated among the top fintech companies to work for by American Banker. Promontory Network has also been recognized as one of the best places to work by the Washington Post’s Top Workplaces and the Washington Business Journal’s Best Places to Work. Our company is also recognized among ’s lists of Best Workplaces—Small & Medium Businesses and Best Workplaces in Financial Services and Insurance.",4.8,"IntraFi Network
4.8","Arlington, VA",201 to 500 Employees,2002,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
IT Systems Analyst - Data,$80K - $95K (Employer est.),"IT Systems Analyst - Data
Job Number: 182349

As an IT Systems Analyst you'll be part of the growing Commercial Lines group where our needs to make data driven decisions is growing. Do you thrive in an environment where you get to use a mix of tools to develop data stories that lead to decisions and change? If so, this position is for you! This includes creating and reporting on the health of our systems, offering insights and consultation to observed areas of opportunity and being a voice in our Lean journey.
Must have qualifications
Bachelor's Degree or higher in an Information Technology, or related discipline (e.g., Computer Science, Management Information Systems (MIS), Math, Information Systems) and a minimum of two years of related work experience designing, developing, programming and/or supporting IT Systems and applications.",3.9,"Progressive
3.9","Highland Heights, Cuyahoga, OH",10000+ Employees,1937,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Senior Data Analyst – Disney Streaming,$80K - $95K (Employer est.),"Job Summary:
We are looking for an experienced Senior Data Analyst to join our Data Governance team. This role requires acute attention to detail, a strong sense of accountability, collaboration skills, and experience with large datasets. In this role you will directly contribute to the success of our data strategy by working on data analysis, KPI definitions, data investigations, standardized reporting and regulatory frameworks, regulatory compliance audit, and the holistic usage and monitoring data across our organization.

At Disney Streaming Services(DSS), data is central to measuring all aspects of the business, and critical to its operation and growth. Data Analysts work closely with the data engineering, back-end services and front-end technology teams. The Senior Data Analyst will work to define key data definitions, data lineage, document data flows and be the subject matter expert of the data flowing into our environment that require stewardship",3.3,"Disney Streaming Services
3.3","Belford, NJ",501 to 1000 Employees,2018,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Analyst,$80K - $95K (Employer est.),"Req ID: 109045

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Data Analyst to join our team in Falls Church, Virginia (US-VA), United States (US).

General Duties and Tasks include:


Design and architecture of the data model and solutions built on it, then iterate with the business on the development of dynamic reporting applications.







:



INDPUBLIC



NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.



Washington DC


Database, Consulting, SQL, Cloud, Computer Science, Technology",3.5,"NTT DATA
3.5","Falls Church, VA",1001 to 5000 Employees,-1,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
Data Analyst,$80K - $95K (Employer est.),"The data analyst will help design, develop, and maintain data reporting solutions for the enterprise-wide web application. They will also ensure all databases are running at peak performance.
*
Duties*
Managing and designing the reporting environment, including data sources, security, and metadata
Supporting the data warehouse in identifying and revising reporting requirements
Generating reports from single or multiple systems
Troubleshooting the reporting database environment and reports",3.4,"JEAR Logistics
3.4","Mount Pleasant, SC",51 to 200 Employees,2007,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$50 to $100 million (USD)
Business Analyst,$80K - $95K (Employer est.),"Healthcareâs helping hand.:
Love what you do and make a difference in people’s lives at Weatherby Healthcare, a division of CHG Healthcare. CHG is one of the largest providers of healthcare staffing in the country. We touch the lives of millions of patients every year. When your day-to-day routine contributes to this important work, it’s easy to get excited about what you do!

Develop business cases, define business objectives, and develop key success factors for solution delivery. Plan and facilitate requirements using a variety of investigative techniques. Function as a liaison between information system groups and business units as needed. Translating and simplifying requirements. Apply judgment in interpreting and delivering business solutions that optimize the user’s experience.

As a condition of employment at CHG Healthcare you must be fully vaccinated against COVID-19 prior to your start date, subject to reasonable accommodations as required by law.
Your role::
Your qualifications::
In return, we offer::
How to Get Started:",4.2,"CHG Healthcare
4.2","Fort Lauderdale, FL",1001 to 5000 Employees,1979,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
Data Insight Analyst,$80K - $95K (Employer est.),"US CITIZENSHIP REQUIRED FOR THIS POSITION: Yes

RELOCATION ASSISTANCE: No relocation assistance available

CLEARANCE TYPE: None

TRAVEL: No

Description

Join Northrop Grumman on our continued mission to push the boundaries of possible across land, sea, air, space, and cyberspace. Enjoy a culture where your voice is valued and start contributing to our team of passionate professionals providing real-life solutions to our world’s biggest challenges. We take pride in creating purposeful work and allowing our employees to grow and achieve their goals every day by Defining Possible. With our competitive pay and comprehensive benefits, we have the right opportunities to fit your life and launch your career today.

Northrop Grumman Defense Systems sector (NGDS) is seeking a highly motivated, results oriented

Data Insight Analyst

to join our growing team of diverse professionals as a

full-time teleworker

. This role supports Sector Supplier Quality and Global Supply Chain to develop, analyze, and present actionable data for executive-level decisions.


Develop creative solutions to tough problems in a high-visibility environment

Define and gather requirements

Review data for quality and prepare it for integration and analysis

Develop and build models to meet executive requirements

Create clean and compelling data visualizations to summarize and communicate findings at various organizational levels

Present findings to drive business decisions and long-term strategic organizational planning


Must have a high school diploma or GED with a minimum of 7 years of relevant data management or analytics experience


Bachelor’s degree with a minimum of 3 years of data management or analytics experience

Master’s degree with a minimum of 1 year of data management or analytics experience

Self-motivated and able to effectively work with all levels of the organization

Excellent communication skills

Experience in Tableau visualization software or similar platforms

Proficient in Windows, MS Word, Excel & PowerPoint programs


Proficiency in programming languages such as SQL, Oracle, and Python

Competence and confidence working under pressure on requests with short turn-around times

Excellent attention to detail applied to complex data integration and analysis

Ability to obtain and maintain a security clearance

$61,400.00 - $92,000.00

Employees may be eligible for a discretionary bonus in addition to base

pay

. Annual bonuses are designed to reward individual contributions as well as allow employees to share in company results.

Employees in Vice President or Director positions may be eligible for Long Term Incentives.

In addition, Northrop Grumman provides a variety of benefits including health insurance coverage, life and disability insurance, savings plan, Company paid holidays and paid time off (PTO) for vacation and/or personal business.

Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal

Opportunity/Affirmative

Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit

http://www.northropgrumman.com/EEO

. U.S. Citizenship is required for most positions.",4.0,"Northrop Grumman
4.0","Fairfax, VA",10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Business Analyst,$80K - $95K (Employer est.),"In your role as Business Analyst you will provide technical and analytical support for corporate growth and development, including the build out of pro forma analyses, analyzing revenue and expense data, and providing insights on the financial and operating characteristics that generate scenarios from internal and external sources. You will be responsible for creating SQL and BI data models using internal and external datasets to enable the creation of standardized actionable dashboards. You will partner with multiple internal workgroups and market leaders tasked with growth and development of Unified Women’s Healthcare. For ultimate success in this role you will utilize your strong technical skills, analytical skill set, financial literacy, and healthcare knowledge to build analytical models and tools that communicate growth drivers to key stakeholders.
Essential Job Functions:
Develop models that translate data into cash-flow projections for potential acquisitions",3.7,"Unified Women’s Healthcare
3.7",Remote,501 to 1000 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Supply Chain Data Analyst,$80K - $95K (Employer est.),"The Worthington Industries Rotation Experience & Development (WIRED) Program candidate will participate in a 12-18 month rotational program in which they will be responsible for developing knowledge and business skills in the manufacturing industry, while building strong relationships during each rotational assessment. The WIRED program is to provide the knowledge and resources to accelerate the learning curve at Worthington Industries. The Business Analyst works closely with several individuals at each rotation to ensure development goals are met. Strong emphasis will be placed on the ability to grow deep knowledge of the functional area. The analyst will be exposed to many facets of the business including on-site work in specified rotations. The career path will vary widely depending on interest career alignment, and overall business need.
Duties & Responsibilities:
Uses knowledge of business and data structure to discover and/or anticipate problems where data can be used to solve the problem",3.5,"Worthington Industries
3.5","Columbus, OH",10000+ Employees,1955,Company - Public,Industrial Manufacturing,Manufacturing,$2 to $5 billion (USD)
Data Analyst,$80K - $95K (Employer est.),"US Tech Solutions is seeking a “Data Analyst” for a 6+ Months Contract month contract position with a client in Remote
Job Poster: Cindy Won
Description:
Responsible for performing research and requirement analysis, creation and design of mapping documents, and presents findings to appropriate team members, clients and vendors. Determines best practices and provides suggestions on how to improve current practices.
Job Responsibilities
· Creates accurate mapping documents according to the mapping process.",3.9,"US Tech Solutions
3.9",Remote,1001 to 5000 Employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Business Data Analyst,$80K - $95K (Employer est.),"Job Title: Business Data Analyst
Location: San Francisco
Duration: 1 Year Contract

Summary:
Responsibilities
We are looking for a strong Business Analyst/Project Manager who is resourceful, action-oriented with the ability to get things done and overcome obstacles. They will work across these areas/teams:

Business Support
Provide day-to-day coordination and quality assurance for projects and tasks

Technology Infrastructure / Operations
- Lead troubleshooting efforts - identify and communicate risks and adjustments to the overall program.

Internal Tools Enablement

Minimum Qualifications

Preferred Qualifications



IND123",4.5,"Ursus
4.5","San Francisco, CA",1 to 50 Employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Business Analyst,$80K - $95K (Employer est.),"The Alexander Technology Group is looking for Project Managers / Business Analysts for 12+ month fully remote contract opportunities for a prestigious client in the healthcare consulting space. These Project Managers and Business Analysts need to have administrative skills but also be able to manage projects and perform business analysis. These positions will work heavily with end-users, gather requirements and manage this client's NetSuite partner.

What we are looking for:
1-5+ years of Project Management or Business Analysis
Project Management and Business Analytical understanding
Requirements Gathering / Workflow management
End-user interfacing - be able to collaborate with C-Level Clientele",4.4,"Alexander Technology Group
4.4","Newton, MA",51 to 200 Employees,2007,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
